First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Alyssa,Kelly,Buy,33,UTEP Basketball 20,6,VIP
Elizabeth,Reyes,Buy,1,UTEP Football 1,6,Bronze
Captaiin,Hook,Buy,6,UTEP Football 6,6,Silver
Maria,Mitchell,Buy,6,UTEP Football 6,4,General Admission
Megan,Noble,Buy,62,The Weeknd Live,4,General Admission
Thomas,Elliott,Buy,69,UTEP Commencement 2,5,Gold
Michelle,Ramirez,Buy,55,UTEP Wind Symphony 11,2,VIP
Michael,Moran,Buy,28,UTEP Basketball 15,2,VIP
Evil,Queen,Buy,67,Warped Tour Day 3,3,Gold
Jeremy,Rocha,Buy,27,UTEP Basketball 14,3,Silver
Wendy,Phillips,Buy,22,UTEP Basketball 9,2,Silver
Angela,Walker,Buy,57,Taylor Swift Live,6,Silver
David,Wright,Buy,59,Eminem Live,5,Gold
Dylan,Harris,Buy,26,UTEP Basketball 13,3,VIP
Emily,Cole,Buy,16,UTEP Basketball 3,3,VIP
Kirsten,Robinson,Buy,3,UTEP Football 3,5,Bronze
Evil,Queen,Buy,17,UTEP Basketball 4,3,Silver
Sarah,Cline,Buy,17,UTEP Basketball 4,6,Silver
Jennifer,Schneider,Buy,32,UTEP Basketball 19,3,Bronze
Christopher,Davis,Buy,54,UTEP Wind Symphony 10,2,General Admission
Paul,Salas,Buy,62,The Weeknd Live,3,Gold
Brandi,Gordon,Buy,22,UTEP Basketball 9,4,Silver
Ashley,Romero,Buy,51,UTEP Wind Symphony 7,3,Silver
Amanda,Miller,Buy,61,Justin Bieber Live,3,VIP
Michael,Fox,Buy,27,UTEP Basketball 14,2,General Admission
Rick,Parrish,Buy,2,UTEP Football 2,6,Gold
Jessica,Ramirez,Buy,11,UTEP Football 11,4,Bronze
Dana,Miller,Buy,27,UTEP Basketball 14,2,General Admission
Andrew,Campos,Buy,62,The Weeknd Live,5,General Admission
Shannon,Bennett,Buy,8,UTEP Football 8,3,General Admission
Donald,Tran,Buy,19,UTEP Basketball 6,5,Bronze
Lisa,Garrett,Buy,9,UTEP Football 9,6,VIP
Cynthia,Ellis,Buy,10,UTEP Football 10,5,VIP
Amanda,Vang,Buy,21,UTEP Basketball 8,3,VIP
Ian,Flores,Buy,13,UTEP Football 13,2,VIP
Bobby,Gonzales,Buy,48,UTEP Wind Symphony 4,5,Bronze
Debra,Blackwell,Buy,37,UTEP Basketball 24,3,Bronze
Elizabeth,Reyes,Buy,42,UTEP Basketball 29,4,VIP
Michael,Parrish,Buy,53,UTEP Wind Symphony 9,4,Gold
Phillip,Brown,Buy,44,UTEP Basketball 31,4,General Admission
Ernest,Bentley,Buy,44,UTEP Basketball 31,6,Bronze
Joanna,Knight,Buy,12,UTEP Football 12,5,Silver
Thomas,Sanders,Buy,61,Justin Bieber Live,3,Gold
Andrew,Marshall,Buy,57,Taylor Swift Live,4,Bronze
Kathleen,Hines,Buy,56,UTEP Wind Symphony 12,4,Bronze
Jon,Lopez,Buy,8,UTEP Football 8,4,VIP
Brandon,Dillon,Buy,52,UTEP Wind Symphony 8,5,Bronze
Amy,Mcpherson,Buy,2,UTEP Football 2,5,Silver
Donald,Tran,Buy,9,UTEP Football 9,3,Bronze
Elizabeth,Kim,Buy,62,The Weeknd Live,6,Silver
Rita,Owens,Buy,27,UTEP Basketball 14,2,Silver
Courtney,Tran,Buy,23,UTEP Basketball 10,2,General Admission
Danielle,Gardner,Buy,2,UTEP Football 2,5,VIP
Maria,Young,Buy,16,UTEP Basketball 3,3,Bronze
Lauren,Coleman,Buy,28,UTEP Basketball 15,4,Bronze
Noah,Horne,Buy,24,UTEP Basketball 11,2,Silver
Courtney,Olsen,Buy,4,UTEP Football 4,3,Gold
Andre,Ramos,Buy,71,UTEP Commencement 3,5,VIP
Mark,Rogers,Buy,12,UTEP Football 12,5,Silver
Justin,Hawkins,Buy,23,UTEP Basketball 10,2,Bronze
Andrew,Atkins,Buy,15,UTEP Basketball 2,2,Silver
George,Ayala,Buy,66,Warped Tour Day 2,2,VIP
Sean,Hernandez,Buy,28,UTEP Basketball 15,5,General Admission
Darlene,Shaw,Buy,50,UTEP Wind Symphony 6,4,Bronze
Crystal,Hudson,Buy,20,UTEP Basketball 7,6,Silver
Peter,Pan,Buy,1,UTEP Football 1,3,Silver
Jon,Lopez,Buy,24,UTEP Basketball 11,6,VIP
Donna,Allen,Buy,26,UTEP Basketball 13,3,Gold
Kirsten,Robinson,Buy,23,UTEP Basketball 10,3,General Admission
Ryan,Bowman,Buy,62,The Weeknd Live,6,Silver
Simba,King,Buy,54,UTEP Wind Symphony 10,4,General Admission
Michael,Murray,Buy,3,UTEP Football 3,6,VIP
Brandon,Flores,Buy,69,UTEP Commencement 2,5,Gold
Alexandra,Fox,Buy,48,UTEP Wind Symphony 4,2,General Admission
Gary,Miller,Buy,10,UTEP Football 10,3,Bronze
Sarah,Anderson,Buy,5,UTEP Football 5,2,Bronze
Stephanie,Perry,Buy,25,UTEP Basketball 12,6,General Admission
Renee,Bradley,Buy,25,UTEP Basketball 12,6,General Admission
Kenneth,Smith,Buy,20,UTEP Basketball 7,5,General Admission
Angela,Carney,Buy,47,UTEP Wind Symphony 3,5,Silver
Theresa,Obrien,Buy,54,UTEP Wind Symphony 10,4,Gold
John,White,Buy,68,UTEP Commencement 1,2,Gold
Christina,Walker,Buy,21,UTEP Basketball 8,6,Silver
Benjamin,Johnson,Buy,25,UTEP Basketball 12,5,General Admission
Quasimodo,Disney,Buy,39,UTEP Basketball 26,6,Gold
Erin,Mejia,Buy,71,UTEP Commencement 3,2,Silver
Natasha,Wheeler,Buy,68,UTEP Commencement 1,2,Gold
Jared,Scott,Buy,53,UTEP Wind Symphony 9,6,General Admission
Amy,Fuller,Buy,24,UTEP Basketball 11,6,Bronze
Bradley,Beltran,Buy,50,UTEP Wind Symphony 6,6,Silver
Holly,Davidson,Buy,37,UTEP Basketball 24,3,VIP
Miranda,Mason,Buy,19,UTEP Basketball 6,4,General Admission
Erik,Case,Buy,8,UTEP Football 8,6,Silver
David,Johnson,Buy,29,UTEP Basketball 16,5,Silver
Jessica,Fernandez,Buy,66,Warped Tour Day 2,2,Gold
Michael,Morton,Buy,30,UTEP Basketball 17,3,VIP
Brandy,Wilkerson,Buy,45,UTEP Wind Symphony 1,2,Gold
Ruben,Edwards,Buy,18,UTEP Basketball 5,6,General Admission
Goofy,Disney,Buy,26,UTEP Basketball 13,5,Bronze
Benjamin,Ramirez,Buy,43,UTEP Basketball 30,6,VIP
Perry,Hill,Buy,10,UTEP Football 10,2,VIP
Hercules,Disney,Buy,6,UTEP Football 6,3,Bronze
Kimberly,Martinez,Buy,11,UTEP Football 11,6,Bronze
Patricia,Mcdonald,Buy,51,UTEP Wind Symphony 7,5,Gold
Derek,Macias,Buy,27,UTEP Basketball 14,6,Bronze
Victoria,Martin,Buy,43,UTEP Basketball 30,3,Silver
Michael,Robinson,Buy,8,UTEP Football 8,5,Silver
Marissa,Wagner,Buy,59,Eminem Live,4,VIP
Jessica,Olsen,Buy,10,UTEP Football 10,5,VIP
Philip,Chaney,Buy,23,UTEP Basketball 10,3,Silver
Kyle,Hodges,Buy,26,UTEP Basketball 13,6,Silver
Christopher,Davis,Buy,2,UTEP Football 2,4,VIP
Robert,Kennedy,Buy,4,UTEP Football 4,4,Silver
Richard,Brown,Buy,12,UTEP Football 12,3,VIP
April,Turner,Buy,18,UTEP Basketball 5,3,Silver
Misty,Jimenez,Buy,57,Taylor Swift Live,4,VIP
Dylan,Lopez,Buy,6,UTEP Football 6,2,General Admission
